#First node,Second node,Weight
24,32,0.9
24,38,0.9
24,43,0.9
24,47,0.5
24,55,0.8
24,62,0.6
24,64,0.7
24,66,0.6
24,92,0.7
24,99,0.8
25,25,5.060156752235733
25,32,0.7
25,41,0.6
25,44,0.7
25,48,0.8
25,50,0.8
25,57,0.7
25,62,0.9
25,70,0.5
25,71,0.9
25,87,0.5
25,98,0.7
26,26,5.060156752235733
26,30,0.7
26,43,1.0
26,47,0.9
26,48,1.0
26,51,0.9
26,58,0.6
26,74,0.8
26,80,0.7
26,91,0.7
26,92,0.7
27,27,5.060156752235733
27,30,0.7
27,45,0.6
27,53,0.6
27,64,0.9
27,65,0.6
27,70,0.8
27,78,0.6
27,79,0.8
27,90,0.9
27,95,1.0
28,28,5.060156752235733
28,31,0.5
28,33,0.9
28,41,0.8
28,54,0.6
28,59,0.5
28,64,1.0
28,72,0.9
28,79,0.9
29,29,5.060156752235733
29,39,0.9
29,54,0.8
29,64,0.8
29,73,0.9
29,79,0.8
30,30,5.060156752235733
30,37,0.9
30,41,0.8
30,48,0.8
30,49,0.6
30,62,0.9
30,76,0.7
30,78,0.7
30,83,0.8
30,94,0.7
31,31,5.060156752235733
31,42,0.6
31,45,0.9
31,46,0.7
31,55,0.9
31,56,0.9
31,82,0.8
31,90,0.7
31,95,0.9
31,96,0.6
32,32,5.060156752235733
32,34,0.9
32,38,0.6
32,39,0.7
32,51,0.8
32,60,1.0
32,67,0.6
32,75,0.6
32,85,0.8
32,89,0.7
32,97,0.8
33,33,5.060156752235733
33,34,1.0
33,41,1.0
33,45,0.8
33,52,0.8
33,61,1.0
33,95,1.0
33,97,0.8
34,34,5.060156752235733
34,45,0.7
34,54,1.0
34,63,0.6
34,65,0.6
34,74,0.7
34,82,0.7
34,93,0.6
35,35,5.060156752235733
35,59,0.6
35,63,0.7
35,68,0.7
35,72,0.5
35,73,0.9
35,85,0.5
35,88,0.8
35,92,0.8
35,98,0.8
36,36,5.060156752235733
36,41,0.9
36,58,0.8
36,60,0.9
36,65,0.6
36,69,0.6
36,88,0.9
36,89,0.9
37,37,5.060156752235733
37,59,0.5
37,60,0.6
37,63,0.5
37,64,0.7
37,74,0.7
37,75,0.5
37,78,0.8
37,81,0.6
37,88,0.5
38,38,5.060156752235733
38,44,0.6
38,48,0.9
38,50,0.8
38,61,0.7
38,87,0.9
38,98,0.8
39,39,5.060156752235733
39,40,0.6
39,49,0.7
39,70,0.9
39,71,0.6
39,73,0.6
39,79,0.9
39,81,0.8
39,90,0.8
39,96,0.9
40,40,5.060156752235733
40,42,1.0
40,44,0.7
40,45,0.7
40,62,0.8
40,64,0.6
40,66,0.6
40,69,0.8
40,77,1.0
40,83,0.6
40,93,0.6
40,96,0.6
41,41,5.060156752235733
41,46,0.8
41,47,0.7
41,49,0.7
41,54,1.0
41,56,1.0
41,63,0.6
41,72,0.6
41,86,0.6
42,42,5.060156752235733
42,43,0.6
42,49,0.6
42,71,1.0
42,74,1.0
42,79,0.5
42,80,0.8
43,43,5.060156752235733
43,44,1.0
43,56,0.9
43,58,0.8
43,66,1.0
43,70,0.5
43,85,0.5
43,92,0.9
43,99,0.9
44,44,5.060156752235733
44,47,0.8
44,62,1.0
44,68,1.0
44,77,0.8
44,86,0.6
44,90,0.8
44,95,0.6
44,99,0.6
45,45,5.060156752235733
45,46,0.8
45,70,0.8
45,75,0.9
45,77,0.5
45,80,0.6
45,95,0.6
45,99,0.8
46,46,5.060156752235733
46,48,0.6
46,58,0.9
46,59,0.9
46,84,0.9
46,94,0.8
46,96,0.6
46,97,0.6
47,47,5.060156752235733
47,67,0.6
47,76,0.7
47,81,0.7
47,84,0.6
48,48,5.060156752235733
48,59,0.7
48,69,0.7
48,74,0.8
48,85,0.5
48,87,0.9
48,89,1.0
49,49,5.060156752235733
49,60,0.5
49,77,1.0
49,81,1.0
50,50,5.060156752235733
50,55,0.6
50,56,0.8
50,62,0.9
51,51,5.060156752235733
51,64,0.8
51,70,0.6
51,71,0.7
51,92,0.5
51,93,0.6
52,52,5.060156752235733
52,57,0.8
52,59,0.6
52,80,0.8
52,85,0.8
52,86,0.6
52,93,0.6
52,100,0.6
53,53,5.060156752235733
53,57,0.5
53,58,0.6
53,62,0.8
53,66,0.7
53,83,0.6
54,54,5.060156752235733
54,77,0.8
54,81,0.6
54,83,0.5
55,55,5.060156752235733
55,56,0.8
55,64,0.9
55,68,0.9
55,79,0.9
55,80,1.0
55,99,0.8
56,56,5.060156752235733
56,66,0.9
56,69,0.7
56,81,0.6
57,57,5.060156752235733
57,61,1.0
57,72,0.8
57,75,0.6
57,83,0.8
57,96,0.9
58,58,5.060156752235733
58,61,1.0
58,72,0.8
58,76,0.6
59,59,5.060156752235733
59,65,0.8
59,70,0.7
59,75,0.7
59,76,0.7
59,87,0.6
59,97,0.5
59,99,0.6
60,60,5.060156752235733
60,62,0.7
60,69,0.6
60,78,0.6
60,79,0.7
60,83,1.0
60,85,0.8
60,90,0.8
61,61,5.060156752235733
61,70,0.5
61,74,0.6
61,75,0.5
61,80,0.9
61,81,0.6
61,89,0.6
61,91,0.8
61,97,0.8
61,98,0.8
62,62,5.060156752235733
62,76,0.7
62,86,0.6
62,90,0.6
63,63,5.060156752235733
63,73,0.6
63,76,0.8
63,77,0.5
63,91,0.8
64,64,5.060156752235733
64,86,0.9
64,87,0.9
64,91,0.7
64,92,0.7
65,65,5.060156752235733
65,76,0.7
65,79,0.9
65,84,0.8
66,66,5.060156752235733
66,77,0.9
66,82,0.5
66,87,0.9
67,67,5.060156752235733
67,71,0.6
67,87,0.7
67,93,0.6
68,68,5.060156752235733
68,73,0.9
68,74,0.8
68,85,0.6
68,90,0.6
69,69,5.060156752235733
69,75,0.7
69,76,0.6
69,92,0.6
69,94,0.6
70,70,5.060156752235733
70,73,0.7
70,75,0.6
70,92,0.7
71,71,5.060156752235733
71,73,1.0
71,95,0.6
72,72,5.060156752235733
72,73,0.9
72,75,0.6
72,76,1.0
72,98,0.8
73,73,5.060156752235733
73,74,1.0
73,95,0.8
73,96,0.9
74,74,5.060156752235733
74,87,0.8
74,94,0.7
74,99,0.8
75,75,5.060156752235733
75,86,0.6
75,89,0.8
75,92,0.6
76,76,5.060156752235733
76,77,0.8
76,81,0.9
76,92,0.9
77,77,5.060156752235733
77,81,0.6
77,94,0.7
77,96,0.5
77,99,0.8
78,78,5.060156752235733
78,80,1.0
78,82,0.9
78,83,0.8
78,98,0.7
79,79,5.060156752235733
79,89,0.8
79,91,0.6
79,94,0.8
79,99,0.6
80,80,5.060156752235733
80,91,0.6
81,81,5.060156752235733
81,84,0.7
81,95,0.8
82,82,5.060156752235733
83,83,5.060156752235733
83,88,0.9
83,91,0.9
84,84,5.060156752235733
84,86,0.7
85,85,5.060156752235733
85,88,0.9
85,94,0.6
85,98,0.7
86,86,5.060156752235733
86,91,0.9
86,92,1.0
87,87,5.060156752235733
87,88,0.6
87,92,0.7
87,95,0.8
88,88,5.060156752235733
88,89,0.7
88,96,0.6
89,89,5.060156752235733
89,93,0.8
90,90,5.060156752235733
90,93,0.7
90,94,0.6
91,91,5.060156752235733
91,99,0.9
92,92,5.060156752235733
92,94,0.7
92,100,0.6
93,93,5.060156752235733
93,96,0.5
94,94,5.060156752235733
94,99,0.6
94,100,0.8
95,95,5.060156752235733
96,96,5.060156752235733
97,97,5.060156752235733
98,98,5.060156752235733
98,99,0.6
99,99,5.060156752235733
99,100,1.0
100,100,5.060156752235733
